datetime,vol,op,comp1p,comp2p,comp3p,hour,day_of_week,month
2023-05-12 06:00:00,56.99,1.728832,1.749,1.774762712,1.749,6,4,5
2023-05-12 07:00:00,95.24,1.83855,1.809,1.829,1.749,7,4,5
2023-05-12 08:00:00,11.5,1.739423,1.765,1.739,1.779,8,4,5
2023-05-12 10:00:00,46.56,1.788927,1.777,1.795,1.791333333,10,4,5
2023-05-12 11:00:00,28.55,1.758761,1.755833333,1.7645,1.767,11,4,5
2023-05-12 12:00:00,78.63,1.798536,1.7645,1.815,1.815666667,12,4,5
2023-05-12 13:00:00,30.6,1.798864,1.789,1.812,1.8125,13,4,5
2023-05-12 14:00:00,139.33,1.778948,1.769666667,1.7895,1.796666667,14,4,5
2023-05-12 15:00:00,45.24,1.818915,1.791,1.797,1.835,15,4,5
2023-05-12 16:00:00,72.04,1.77909,1.763666667,1.7855,1.782333333,16,4,5
2023-05-12 17:00:00,132.25,1.778693,1.762166667,1.7825,1.794,17,4,5
2023-05-12 18:00:00,203.03,1.772892,1.758333333,1.7625,1.776333333,18,4,5
2023-05-12 19:00:00,133.08,1.780716,1.7735,1.782,1.794,19,4,5
2023-05-12 20:00:00,149.87,1.772287,1.751,1.757,1.775333333,20,4,5
2023-05-12 21:00:00,188.72,1.735675,1.725833333,1.7275,1.749,21,4,5
2023-05-13 06:00:00,17.92,1.829387,1.7174166665000001,1.7232500000000002,1.749,6,5,5
2023-05-13 07:00:00,21.86,1.82903,1.709,1.719,1.749,7,5,5
2023-05-13 08:00:00,23.94,1.8088,1.7285,1.8245,1.8065,8,5,5
2023-05-13 09:00:00,85.78,1.853901,1.819833333,1.866,1.854,9,5,5
2023-05-13 10:00:00,73.04,1.839205,1.8215,1.845,1.841333333,10,5,5
2023-05-13 11:00:00,113.86,1.778872,1.781333333,1.7875,1.796,11,5,5
2023-05-13 12:00:00,102.95,1.825381,1.787,1.8245,1.845666667,12,5,5
2023-05-13 13:00:00,53.03,1.80886,1.7865,1.806,1.831,13,5,5
2023-05-13 14:00:00,4.63,1.778574,1.7325,1.7655,1.7775,14,5,5
2023-05-13 15:00:00,225.17,1.77901,1.759,1.789,1.811,15,5,5
2023-05-13 16:00:00,96.73,1.761993,1.724833333,1.774,1.755666667,16,5,5
2023-05-13 17:00:00,137.5,1.735794,1.730666667,1.7605,1.754,17,5,5
